,client_type,service_tier,reserved_gpu_type
269,internal_research,standard,GPU_T4
270,research_consortium,standard,GPU_T1
271,research_consortium,standard,GPU_T1
272,cloud_marketplace,on_demand,GPU_T1
273,cloud_marketplace,standard,GPU_T4
274,research_consortium,standard,GPU_T1
275,managed_account,standard,GPU_T1
276,internal_research,standard,GPU_T5
277,research_consortium,standard,GPU_T1
278,research_consortium,standard,GPU_T1
279,cloud_marketplace,on_demand,GPU_T1
280,cloud_marketplace,on_demand,GPU_T1
281,internal_research,standard,GPU_T1
282,cloud_marketplace,standard,GPU_T8
283,cloud_marketplace,on_demand,GPU_T1
284,research_consortium,standard,GPU_T1
285,internal_research,standard,GPU_T1
286,internal_research,standard,GPU_T6
287,cloud_marketplace,on_demand,GPU_T1
288,research_consortium,standard,GPU_T1
289,cloud_marketplace,standard,GPU_T1
290,research_consortium,standard,GPU_T1
291,cloud_marketplace,standard,GPU_T1
292,cloud_marketplace,priority,GPU_T4
293,cloud_marketplace,standard,GPU_T1
294,cloud_marketplace,standard,GPU_T1
295,cloud_marketplace,on_demand,GPU_T1
296,cloud_marketplace,standard,GPU_T4
297,cloud_marketplace,on_demand,GPU_T1
298,cloud_marketplace,standard,GPU_T1
299,cloud_marketplace,priority,GPU_T1
300,cloud_marketplace,standard,GPU_T1
301,managed_account,standard,GPU_T1
302,cloud_marketplace,standard,GPU_T1
303,internal_research,standard,GPU_T1
304,cloud_marketplace,standard,GPU_T1
305,cloud_marketplace,standard,GPU_T1
306,cloud_marketplace,standard,GPU_T1
307,research_consortium,standard,GPU_T1
308,internal_research,enterprise,GPU_T1
309,cloud_marketplace,priority,GPU_T1
310,cloud_marketplace,standard,GPU_T1
311,internal_research,standard,GPU_T5
312,cloud_marketplace,standard,GPU_T4
313,enterprise_client,standard,GPU_T1
314,sponsored_project,standard,GPU_T6
315,managed_account,standard,GPU_T1
316,managed_account,standard,GPU_T1
317,managed_account,standard,GPU_T1
318,managed_account,standard,GPU_T1
319,cloud_marketplace,standard,GPU_T4
320,managed_account,standard,GPU_T1
321,managed_account,standard,GPU_T1
322,managed_account,standard,GPU_T1
323,managed_account,standard,GPU_T1
324,cloud_marketplace,standard,GPU_T5
325,managed_account,standard,GPU_T1
326,managed_account,standard,GPU_T1
327,managed_account,standard,GPU_T1
328,managed_account,standard,GPU_T1
329,internal_research,standard,GPU_T1
330,enterprise_client,standard,GPU_T1
331,managed_account,standard,GPU_T1
332,cloud_marketplace,standard,GPU_T1
333,managed_account,standard,GPU_T1
334,cloud_marketplace,on_demand,GPU_T1
335,cloud_marketplace,standard,GPU_T1
336,cloud_marketplace,on_demand,GPU_T1
337,internal_research,standard,GPU_T1
338,enterprise_client,standard,GPU_T1
339,internal_research,standard,GPU_T1
340,research_consortium,standard,GPU_T1
341,internal_research,standard,GPU_T5
342,cloud_marketplace,on_demand,GPU_T1
343,research_consortium,standard,GPU_T1
344,cloud_marketplace,standard,GPU_T1
345,cloud_marketplace,standard,GPU_T4
346,research_consortium,standard,GPU_T1
347,research_consortium,standard,GPU_T1
348,internal_research,standard,GPU_T1
349,managed_account,standard,GPU_T1
350,cloud_marketplace,standard,GPU_T1
351,cloud_marketplace,standard,GPU_T4
352,research_consortium,standard,GPU_T1
353,managed_account,standard,GPU_T1
354,research_consortium,standard,GPU_T1
355,research_consortium,standard,GPU_T1
356,research_consortium,standard,GPU_T1
357,cloud_marketplace,on_demand,GPU_T1
358,enterprise_client,standard,GPU_T1
359,cloud_marketplace,standard,GPU_T1
360,cloud_marketplace,standard,GPU_T1
361,research_consortium,standard,GPU_T1
362,enterprise_client,standard,GPU_T1
363,cloud_marketplace,standard,GPU_T5
364,cloud_marketplace,standard,GPU_T1
365,cloud_marketplace,standard,GPU_T1
366,cloud_marketplace,standard,GPU_T4
367,research_consortium,standard,GPU_T1
368,research_consortium,standard,GPU_T1
369,cloud_marketplace,standard,GPU_T4
370,cloud_marketplace,priority,GPU_T4
371,cloud_marketplace,standard,GPU_T1
372,research_consortium,standard,GPU_T1
373,cloud_marketplace,standard,GPU_T1
374,research_consortium,standard,GPU_T1
375,cloud_marketplace,standard,GPU_T5
376,cloud_marketplace,standard,GPU_T1
377,research_consortium,standard,GPU_T1
378,enterprise_client,standard,GPU_T1
379,cloud_marketplace,standard,GPU_T1
380,research_consortium,standard,GPU_T1
381,cloud_marketplace,standard,GPU_T4
382,research_consortium,standard,GPU_T1
383,research_consortium,standard,GPU_T1
384,research_consortium,standard,GPU_T1
385,internal_research,standard,GPU_T1
386,managed_account,standard,GPU_T1
387,research_consortium,standard,GPU_T1
388,cloud_marketplace,on_demand,GPU_T1
389,research_consortium,standard,GPU_T1
390,research_consortium,standard,GPU_T1
391,research_consortium,standard,GPU_T1
392,internal_research,standard,GPU_T1
393,cloud_marketplace,standard,GPU_T1
394,cloud_marketplace,standard,GPU_T1
395,managed_account,standard,GPU_T1
396,cloud_marketplace,standard,GPU_T1
397,cloud_marketplace,priority,GPU_T4
398,internal_research,standard,GPU_T1
399,cloud_marketplace,on_demand,GPU_T1
400,cloud_marketplace,standard,GPU_T1
401,cloud_marketplace,standard,GPU_T1
402,research_consortium,standard,GPU_T1
403,cloud_marketplace,standard,GPU_T7
404,cloud_marketplace,on_demand,GPU_T1
405,cloud_marketplace,standard,GPU_T1
406,cloud_marketplace,standard,GPU_T1
407,cloud_marketplace,standard,GPU_T6
408,cloud_marketplace,standard,GPU_T6
409,cloud_marketplace,standard,GPU_T1
410,research_consortium,standard,GPU_T1
411,cloud_marketplace,standard,GPU_T1
412,internal_research,standard,GPU_T5
413,internal_research,priority,GPU_T6
414,internal_research,standard,GPU_T1
415,research_consortium,standard,GPU_T1
416,internal_research,standard,GPU_T1
417,cloud_marketplace,standard,GPU_T1
418,cloud_marketplace,standard,GPU_T4
419,enterprise_client,standard,GPU_T1
420,research_consortium,standard,GPU_T1
421,research_consortium,standard,GPU_T1
422,research_consortium,standard,GPU_T1
423,research_consortium,standard,GPU_T1
424,research_consortium,standard,GPU_T1
425,cloud_marketplace,on_demand,GPU_T1
426,internal_research,standard,GPU_T1
427,cloud_marketplace,standard,GPU_T1
428,enterprise_client,standard,GPU_T1
429,cloud_marketplace,standard,GPU_T4
430,research_consortium,standard,GPU_T1
431,internal_research,standard,GPU_T1
432,research_consortium,standard,GPU_T1
433,internal_research,standard,GPU_T1
434,cloud_marketplace,priority,GPU_T6
435,internal_research,standard,GPU_T1
436,cloud_marketplace,standard,GPU_T1
437,cloud_marketplace,on_demand,GPU_T1
438,cloud_marketplace,standard,GPU_T1
439,internal_research,standard,GPU_T1
440,cloud_marketplace,on_demand,GPU_T1
441,cloud_marketplace,standard,GPU_T3
442,cloud_marketplace,standard,GPU_T6
443,cloud_marketplace,standard,GPU_T1
444,cloud_marketplace,on_demand,GPU_T1
445,cloud_marketplace,standard,GPU_T1
446,internal_research,standard,GPU_T1
447,cloud_marketplace,standard,GPU_T1
448,cloud_marketplace,standard,GPU_T6
449,internal_research,standard,GPU_T1
450,internal_research,standard,GPU_T1
451,cloud_marketplace,on_demand,GPU_T1
452,internal_research,standard,GPU_T1
453,cloud_marketplace,standard,GPU_T4
454,cloud_marketplace,standard,GPU_T1
455,cloud_marketplace,standard,GPU_T1
456,enterprise_client,standard,GPU_T1
457,enterprise_client,standard,GPU_T1
458,enterprise_client,standard,GPU_T1
459,cloud_marketplace,standard,GPU_T1
460,cloud_marketplace,standard,GPU_T1
461,enterprise_client,standard,GPU_T1
462,cloud_marketplace,on_demand,GPU_T1
463,managed_account,standard,GPU_T1
464,sponsored_project,standard,GPU_T1
465,cloud_marketplace,standard,GPU_T1
466,cloud_marketplace,on_demand,GPU_T1
467,research_consortium,standard,GPU_T1
468,cloud_marketplace,standard,GPU_T1
469,cloud_marketplace,standard,GPU_T1
470,cloud_marketplace,standard,GPU_T1
471,managed_account,standard,GPU_T1
472,cloud_marketplace,standard,GPU_T4
473,research_consortium,standard,GPU_T1
474,internal_research,standard,GPU_T4
475,cloud_marketplace,standard,GPU_T1
476,cloud_marketplace,standard,GPU_T1
477,cloud_marketplace,standard,GPU_T1
478,enterprise_client,standard,GPU_T1
479,cloud_marketplace,standard,GPU_T5
480,managed_account,standard,GPU_T1
481,cloud_marketplace,priority,GPU_T1
482,internal_research,standard,GPU_T1
483,internal_research,standard,GPU_T1
484,cloud_marketplace,standard,GPU_T2
485,internal_research,standard,GPU_T1
486,internal_research,standard,GPU_T4
487,cloud_marketplace,on_demand,GPU_T1
488,cloud_marketplace,priority,GPU_T1
489,cloud_marketplace,standard,GPU_T1
490,cloud_marketplace,on_demand,GPU_T1
491,cloud_marketplace,standard,GPU_T4
492,cloud_marketplace,standard,GPU_T1
493,cloud_marketplace,on_demand,GPU_T1
494,managed_account,standard,GPU_T4
495,cloud_marketplace,standard,GPU_T7
496,internal_research,standard,GPU_T4
497,cloud_marketplace,on_demand,GPU_T1
498,internal_research,standard,GPU_T1
499,cloud_marketplace,on_demand,GPU_T1
500,cloud_marketplace,standard,GPU_T1
501,cloud_marketplace,standard,GPU_T1
502,enterprise_client,standard,GPU_T1
503,cloud_marketplace,on_demand,GPU_T1
504,enterprise_client,standard,GPU_T1
505,internal_research,standard,GPU_T5
506,internal_research,standard,GPU_T1
507,cloud_marketplace,standard,GPU_T1
508,cloud_marketplace,standard,GPU_T4
509,cloud_marketplace,standard,GPU_T7
510,internal_research,standard,GPU_T1
511,internal_research,standard,GPU_T1
512,enterprise_client,standard,GPU_T1
513,internal_research,standard,GPU_T4
514,managed_account,standard,GPU_T1
515,internal_research,standard,GPU_T1
516,research_consortium,priority,GPU_T1
517,enterprise_client,standard,GPU_T1
518,internal_research,standard,GPU_T2
519,cloud_marketplace,standard,GPU_T4
520,internal_research,standard,GPU_T1
521,internal_research,standard,GPU_T1
522,cloud_marketplace,standard,GPU_T4
523,managed_account,standard,GPU_T1
524,cloud_marketplace,standard,GPU_T4
525,managed_account,standard,GPU_T1
526,managed_account,standard,GPU_T1
527,cloud_marketplace,standard,GPU_T1
528,cloud_marketplace,standard,GPU_T1
529,cloud_marketplace,standard,GPU_T1
530,cloud_marketplace,standard,GPU_T1
531,enterprise_client,standard,GPU_T1
532,enterprise_client,standard,GPU_T1
533,enterprise_client,standard,GPU_T1
534,internal_research,standard,GPU_T5
535,cloud_marketplace,standard,GPU_T4
536,cloud_marketplace,standard,GPU_T1
537,research_consortium,standard,GPU_T1
538,cloud_marketplace,on_demand,GPU_T1
539,cloud_marketplace,standard,GPU_T1
540,internal_research,standard,GPU_T1
541,cloud_marketplace,standard,GPU_T1
542,internal_research,standard,GPU_T1
543,cloud_marketplace,standard,GPU_T1
544,cloud_marketplace,standard,GPU_T1
545,internal_research,priority,GPU_T5
546,cloud_marketplace,standard,GPU_T1
547,cloud_marketplace,standard,GPU_T2
548,cloud_marketplace,standard,GPU_T1
549,cloud_marketplace,standard,GPU_T1
550,cloud_marketplace,standard,GPU_T1
551,cloud_marketplace,standard,GPU_T1
552,cloud_marketplace,standard,GPU_T1
553,cloud_marketplace,standard,GPU_T7
554,cloud_marketplace,on_demand,GPU_T1
555,internal_research,standard,GPU_T5
556,cloud_marketplace,standard,GPU_T7
557,cloud_marketplace,on_demand,GPU_T1
558,sponsored_project,priority,GPU_T4
559,internal_research,standard,GPU_T5
560,enterprise_client,standard,GPU_T1
561,cloud_marketplace,standard,GPU_T1
562,cloud_marketplace,on_demand,GPU_T1
563,research_consortium,unknown,GPU_T1
564,cloud_marketplace,on_demand,GPU_T1
565,cloud_marketplace,standard,GPU_T1
566,cloud_marketplace,on_demand,GPU_T1
567,managed_account,standard,GPU_T1
568,managed_account,standard,GPU_T1
569,cloud_marketplace,standard,GPU_T1
570,research_consortium,unknown,GPU_T1
571,research_consortium,priority,GPU_T4
572,research_consortium,priority,GPU_T4
573,managed_account,priority,GPU_T1
574,cloud_marketplace,standard,GPU_T4
575,internal_research,standard,GPU_T1
576,cloud_marketplace,standard,GPU_T1
577,cloud_marketplace,standard,GPU_T1
578,research_consortium,unknown,GPU_T1
579,cloud_marketplace,standard,GPU_T1
580,cloud_marketplace,priority,GPU_T1
581,sponsored_project,standard,GPU_T1
582,internal_research,standard,GPU_T1
583,cloud_marketplace,standard,GPU_T1
584,cloud_marketplace,standard,GPU_T7
585,cloud_marketplace,on_demand,GPU_T1
586,cloud_marketplace,standard,GPU_T6
587,cloud_marketplace,standard,GPU_T1
588,internal_research,standard,GPU_T5
589,cloud_marketplace,standard,GPU_T1
590,cloud_marketplace,standard,GPU_T1
591,cloud_marketplace,standard,GPU_T1
592,internal_research,standard,GPU_T2
593,cloud_marketplace,on_demand,GPU_T1
594,internal_research,standard,GPU_T4
595,internal_research,standard,GPU_T4
596,managed_account,priority,GPU_T1
597,internal_research,standard,GPU_T1
598,enterprise_client,standard,GPU_T1
599,internal_research,standard,GPU_T1
600,cloud_marketplace,on_demand,GPU_T1
601,internal_research,standard,GPU_T1
602,cloud_marketplace,standard,GPU_T1
603,managed_account,unknown,GPU_T1
604,cloud_marketplace,standard,GPU_T1
605,managed_account,standard,GPU_T5
606,cloud_marketplace,standard,GPU_T1
607,cloud_marketplace,standard,GPU_T4
608,cloud_marketplace,standard,GPU_T1
609,cloud_marketplace,standard,GPU_T1
610,cloud_marketplace,on_demand,GPU_T1
611,cloud_marketplace,on_demand,GPU_T1
612,cloud_marketplace,on_demand,GPU_T1
613,managed_account,on_demand,GPU_T1
614,research_consortium,priority,GPU_T1
615,research_consortium,priority,GPU_T1
616,managed_account,standard,GPU_T1
617,cloud_marketplace,priority,GPU_T1
618,research_consortium,priority,GPU_T1
619,cloud_marketplace,standard,GPU_T1
620,internal_research,standard,GPU_T5
621,research_consortium,priority,GPU_T1
622,cloud_marketplace,standard,GPU_T1
623,cloud_marketplace,standard,GPU_T4
624,research_consortium,priority,GPU_T1
625,cloud_marketplace,standard,GPU_T4
626,cloud_marketplace,standard,GPU_T1
627,cloud_marketplace,priority,GPU_T8
628,cloud_marketplace,standard,GPU_T1
629,cloud_marketplace,standard,GPU_T1
630,cloud_marketplace,standard,GPU_T4
631,cloud_marketplace,standard,GPU_T5
632,cloud_marketplace,standard,GPU_T6
633,cloud_marketplace,priority,GPU_T5
634,cloud_marketplace,priority,GPU_T5
635,cloud_marketplace,standard,GPU_T8
636,cloud_marketplace,standard,GPU_T6
637,managed_account,standard,GPU_T1
638,cloud_marketplace,standard,GPU_T1
639,cloud_marketplace,standard,GPU_T4
640,cloud_marketplace,standard,GPU_T1
641,managed_account,standard,GPU_T1
642,cloud_marketplace,standard,GPU_T5
643,cloud_marketplace,standard,GPU_T1
644,cloud_marketplace,standard,GPU_T5
645,internal_research,standard,GPU_T1
646,research_consortium,standard,GPU_T1
647,research_consortium,unknown,GPU_T1
648,cloud_marketplace,standard,GPU_T1
649,internal_research,standard,GPU_T1
650,cloud_marketplace,standard,GPU_T1
651,cloud_marketplace,standard,GPU_T1
652,internal_research,standard,GPU_T1
653,cloud_marketplace,standard,GPU_T1
654,research_consortium,standard,GPU_T1
655,research_consortium,unknown,GPU_T1
656,cloud_marketplace,standard,GPU_T4
657,managed_account,unknown,GPU_T1
658,cloud_marketplace,standard,GPU_T5
659,cloud_marketplace,standard,GPU_T1
660,managed_account,standard,GPU_T4
661,managed_account,standard,GPU_T1
662,cloud_marketplace,standard,GPU_T1
663,managed_account,standard,GPU_T1
664,research_consortium,priority,GPU_T1
665,cloud_marketplace,standard,GPU_T4
666,research_consortium,priority,GPU_T1
667,cloud_marketplace,standard,GPU_T1
668,managed_account,standard,GPU_T1
669,internal_research,standard,GPU_T1
670,cloud_marketplace,standard,GPU_T1
671,cloud_marketplace,standard,GPU_T1
672,sponsored_project,standard,GPU_T5
673,cloud_marketplace,standard,GPU_T1
674,enterprise_client,standard,GPU_T1
675,cloud_marketplace,standard,GPU_T1
676,research_consortium,standard,GPU_T1
677,cloud_marketplace,standard,GPU_T1
678,cloud_marketplace,standard,GPU_T8
679,cloud_marketplace,standard,GPU_T1
680,internal_research,standard,GPU_T1
681,cloud_marketplace,standard,GPU_T4
682,research_consortium,enterprise,GPU_T1
683,cloud_marketplace,on_demand,GPU_T1
684,research_consortium,priority,GPU_T1
685,research_consortium,standard,GPU_T1
686,research_consortium,standard,GPU_T1
687,cloud_marketplace,standard,GPU_T4
688,managed_account,standard,GPU_T1
689,internal_research,standard,GPU_T1
690,cloud_marketplace,standard,GPU_T1
691,cloud_marketplace,on_demand,GPU_T1
692,cloud_marketplace,on_demand,GPU_T1
693,research_consortium,priority,GPU_T1
694,cloud_marketplace,standard,GPU_T4
695,cloud_marketplace,on_demand,GPU_T1
696,cloud_marketplace,priority,GPU_T4
697,research_consortium,standard,GPU_T1
698,internal_research,standard,GPU_T5
699,cloud_marketplace,standard,GPU_T4
700,research_consortium,standard,GPU_T1
701,cloud_marketplace,priority,GPU_T4
702,internal_research,standard,GPU_T1
703,cloud_marketplace,standard,GPU_T1
704,research_consortium,standard,GPU_T1
705,research_consortium,unknown,GPU_T1
706,internal_research,standard,GPU_T4
707,cloud_marketplace,standard,GPU_T5
708,internal_research,priority,GPU_T4
709,managed_account,standard,GPU_T4
710,cloud_marketplace,standard,GPU_T1
711,research_consortium,enterprise,GPU_T1
712,research_consortium,standard,GPU_T1
713,research_consortium,enterprise,GPU_T1
714,cloud_marketplace,standard,GPU_T1
